ch0,37.827,11.561,30.899,48.675,19.21,50.534,17.884ch1,41.697,14.707,34.402,49.322,13.668,50.437,13.676ch2,43.499,11.659,28.952,48.167,16.719,49.992,11.256ch3,37.7,11.641,32.936,50.458,10.998,46.528,11.733ch4,41.546,12.808,28.405,49.173,11.707,50.336,18.506ch5,39.864,12.507,34.747,50.627,12.899,51.854,14.667,1654544055.3177922
ch0,36.442,13.247,29.602,47.003,16.357,49.381,11.265ch1,43.602,14.486,30.394,49.372,11.283,46.707,12.348ch2,41.485,14.896,30.549,49.92,10.438,47.626,10.038ch3,35.806,14.699,30.643,48.431,18.533,49.889,13.005ch4,40.617,12.507,32.836,45.808,17.527,46.367,10.332ch5,35.877,14.022,30.864,46.553,10.645,50.013,10.765,1654544056.40834
ch0,36.299,12.913,32.478,49.478,13.314,48.62,12.865ch1,35.525,12.081,29.132,49.979,14.269,50.288,15.899ch2,35.486,12.282,29.329,45.78,10.137,46.935,11.199ch3,40.672,12.685,30.835,49.805,15.435,47.614,17.191ch4,35.839,12.785,31.955,47.237,15.034,46.643,16.213ch5,40.216,14.148,28.33,49.95,15.874,50.365,15.889,1654544057.6393912
ch0,38.786,14.522,29.997,46.974,10.112,51.461,16.2ch1,40.373,12.934,33.627,46.05,15.806,46.421,19.114ch2,40.684,14.647,30.85,50.883,16.983,46.4,18.91ch3,36.042,12.364,33.068,47.993,11.475,51.976,12.149ch4,38.91,12.576,28.104,51.305,15.424,48.46,19.819ch5,42.541,11.111,34.335,48.163,19.778,48.798,19.939,1654544058.904868
ch0,42.119,12.348,31.01,45.234,11.358,51.226,15.626ch1,42.023,12.156,29.381,47.342,16.426,46.386,15.208ch2,44.498,14.358,33.378,49.908,16.9,48.513,10.835ch3,38.419,10.171,31.905,47.941,12.027,48.903,14.191ch4,37.844,14.567,32.08,48.977,14.352,47.784,12.636ch5,42.491,14.341,30.18,47.566,14.476,51.159,11.11,1654544060.1873577
ch0,39.574,13.404,29.352,45.375,15.872,50.297,18.449ch1,43.664,13.477,34.946,45.451,15.79,46.481,12.709ch2,41.755,14.354,34.857,48.896,13.482,46.493,16.106ch3,39.469,14.324,34.855,49.779,18.971,48.993,16.739ch4,42.061,14.792,32.116,47.818,13.954,45.122,17.407ch5,42.273,10.814,31.536,49.388,13.457,48.84,13.381,1654544061.436245
ch0,42.274,10.856,31.098,46.375,19.473,47.529,19.05ch1,40.414,14.453,28.842,47.255,13.077,51.257,15.161ch2,40.017,14.044,31.351,49.08,16.736,47.819,18.117ch3,44.323,14.967,28.032,49.207,10.814,45.059,12.772ch4,38.437,13.579,32.431,45.023,11.68,51.171,11.057ch5,41.055,12.338,34.538,47.291,17.884,51.242,16.4,1654544062.7027538
ch0,35.356,14.354,30.978,47.277,19.769,49.585,16.006ch1,36.8,11.029,34.213,46.012,11.998,46.445,17.786ch2,39.169,10.199,31.629,48.513,15.304,47.272,18.588ch3,35.864,13.086,34.445,46.312,12.747,48.462,12.619ch4,43.904,11.279,34.578,51.32,14.058,49.864,11.278ch5,43.891,13.333,34.328,50.78,11.185,51.838,18.569,1654544063.974842
ch0,38.58,14.661,30.186,51.063,18.222,47.184,15.151ch1,41.513,13.488,34.978,45.487,18.865,49.702,12.776ch2,37.871,12.116,34.837,49.988,10.798,46.953,12.131ch3,37.49,11.589,28.768,46.641,18.534,47.792,16.356ch4,41.361,10.132,30.621,50.782,18.372,46.592,18.749ch5,38.657,12.308,29.44,45.953,18.676,51.917,12.316,1654544065.238286
ch0,40.625,14.198,30.168,50.346,17.174,51.735,17.33ch1,36.617,11.839,30.509,50.812,17.749,46.357,17.102ch2,43.092,10.047,31.129,45.948,18.944,45.145,17.984ch3,42.708,10.991,32.007,48.426,17.084,48.236,10.84ch4,43.574,10.588,34.203,46.854,18.26,48.05,14.071ch5,37.752,11.58,31.777,46.021,11.968,46.424,18.375,1654544066.4982665
